fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.172079392,-0.081761553,0.213258429,2.821061144,-0.035351391,0.569873394,0.744489024,2.331273996,-1.246793986,-0.34914861,-1.393010236,6
-0.657434005,0.215873592,0.047996221,-0.944668824,0.147731996,-1.252890744,-0.149669343,-0.009153237,0.739953092,0.00134171,-0.824191529,6
1.475600444,0.017450162,0.543782844,0.100271952,0.193502843,-0.312109253,-0.97323626,0.358628185,0.475053481,-0.43677119,-0.336632638,6
0.40908322,-0.478608413,-0.117265987,0.415725772,0.559669617,0.68747108,1.120976757,0.525801559,0.011479163,-0.787261509,-0.499152268,6
0.40908322,-0.478608413,-0.117265987,0.415725772,0.559669617,0.68747108,1.120976757,0.525801559,0.011479163,-0.787261509,-0.499152268,6
1.475600444,0.017450162,0.543782844,0.100271952,0.193502843,-0.312109253,-0.97323626,0.358628185,0.475053481,-0.43677119,-0.336632638,6
-0.775935919,0.414297021,-1.439363647,0.119987816,-0.035351391,-0.312109253,-0.05554741,0.291758836,-0.054745739,-0.17390345,-0.742931714,6
0.172079392,-0.081761553,0.213258429,2.821061144,-0.035351391,0.569873394,0.744489024,2.331273996,-1.246793986,-0.34914861,-1.393010236,6
-0.657434005,0.215873592,0.047996221,-0.944668824,0.147731996,-1.252890744,-0.149669343,-0.009153237,0.739953092,0.00134171,-0.824191529,6
1.475600444,-0.577820128,0.791676155,-0.964384688,-0.081122238,-0.42970694,-0.220260793,-0.076022587,0.210153871,-0.34914861,0.3947057,6
1.475600444,-0.081761553,0.626413947,-0.97424262,-0.584601552,-1.429287273,-1.773272694,-1.079062829,-1.313018888,0.614699769,1.207303852,5
2.068110013,-0.478608413,0.543782844,-0.432056368,-0.493059859,-1.076494214,-0.69087046,0.224889486,-0.31964535,0.351832029,-0.661671899,5
1.238596616,-0.974666987,0.295889532,-1.023532279,-0.264205625,-1.135293057,-1.490906894,-0.677846732,-0.054745739,1.228057828,0.232186069,5
-0.301928263,-1.173090417,0.543782844,-0.964384688,-0.081122238,0.746269923,0.109165973,-0.94532413,2.329350754,0.264209449,1.532343113,7
1.712604272,1.40641417,2.361667127,2.535181121,-0.264205625,0.334678021,0.79154999,2.063796598,-1.379243791,1.578548147,-0.661671899,5
-0.301928263,-1.073878702,0.378520636,-0.964384688,-0.630372399,-0.42970694,-0.62027901,-0.878454781,0.408828579,0.527077189,0.719744961,7
-0.657434005,2.001684459,-2.430936892,-1.043248143,0.010419456,-0.312109253,-0.926175293,-0.410369334,0.342603676,-1.137751829,-0.742931714,6
-0.775935919,3.787495327,1.204831674,-1.023532279,-0.767684939,-0.370908097,-1.490906894,-1.614017626,0.9386278,-0.874884089,1.857382374,8
