variety,country,n,percent
Bordeaux-style Red Blend,Argentina,86,0.016104869
Bordeaux-style Red Blend,Australia,29,0.005430712
Bordeaux-style Red Blend,Austria,2,0.000374532
Bordeaux-style Red Blend,Brazil,2,0.000374532
Bordeaux-style Red Blend,Bulgaria,2,0.000374532
Bordeaux-style Red Blend,Canada,15,0.002808989
Bordeaux-style Red Blend,Chile,37,0.006928839
Bordeaux-style Red Blend,Croatia,1,0.000187266
Bordeaux-style Red Blend,France,3173,0.594194757
Bordeaux-style Red Blend,Hungary,6,0.001123596
Bordeaux-style Red Blend,Israel,40,0.007490637
Bordeaux-style Red Blend,Italy,2,0.000374532
Bordeaux-style Red Blend,Mexico,1,0.000187266
Bordeaux-style Red Blend,Moldova,2,0.000374532
Bordeaux-style Red Blend,New Zealand,24,0.004494382
Bordeaux-style Red Blend,Portugal,5,0.00093633
Bordeaux-style Red Blend,Slovenia,4,0.000749064
Bordeaux-style Red Blend,South Africa,80,0.014981273
Bordeaux-style Red Blend,Spain,9,0.001685393
Bordeaux-style Red Blend,Turkey,3,0.000561798
Bordeaux-style Red Blend,US,1817,0.340262172
Cabernet Sauvignon,,2,0.000213083
Cabernet Sauvignon,Argentina,536,0.057106329
Cabernet Sauvignon,Australia,263,0.028020456
Cabernet Sauvignon,Austria,5,0.000532708
Cabernet Sauvignon,Brazil,4,0.000426167
Cabernet Sauvignon,Bulgaria,20,0.002130833
Cabernet Sauvignon,Canada,7,0.000745792
Cabernet Sauvignon,Chile,764,0.081397827
Cabernet Sauvignon,France,53,0.005646708
Cabernet Sauvignon,Greece,6,0.00063925
Cabernet Sauvignon,Israel,99,0.010547624
Cabernet Sauvignon,Italy,118,0.012571916
Cabernet Sauvignon,Mexico,8,0.000852333
Cabernet Sauvignon,Moldova,8,0.000852333
Cabernet Sauvignon,New Zealand,2,0.000213083
Cabernet Sauvignon,Portugal,15,0.001598125
Cabernet Sauvignon,Romania,16,0.001704667
Cabernet Sauvignon,Slovenia,3,0.000319625
Cabernet Sauvignon,South Africa,120,0.012784999
Cabernet Sauvignon,Spain,52,0.005540166
Cabernet Sauvignon,Turkey,2,0.000213083
Cabernet Sauvignon,Ukraine,1,0.000106542
Cabernet Sauvignon,Uruguay,2,0.000213083
Cabernet Sauvignon,US,7280,0.775623269
Chardonnay,,3,0.000270758
Chardonnay,Argentina,289,0.026083032
Chardonnay,Australia,395,0.035649819
Chardonnay,Austria,54,0.004873646
Chardonnay,Brazil,5,0.000451264
Chardonnay,Bulgaria,16,0.001444043
Chardonnay,Canada,26,0.00234657
Chardonnay,Chile,510,0.046028881
Chardonnay,England,16,0.001444043
Chardonnay,France,2230,0.201263538
Chardonnay,Germany,5,0.000451264
Chardonnay,Greece,15,0.001353791
Chardonnay,Hungary,1,9.03E-05
Chardonnay,Israel,39,0.003519856
Chardonnay,Italy,312,0.028158845
Chardonnay,Lebanon,1,9.03E-05
Chardonnay,Macedonia,1,9.03E-05
Chardonnay,Mexico,9,0.000812274
Chardonnay,Moldova,2,0.000180505
Chardonnay,Morocco,3,0.000270758
Chardonnay,New Zealand,109,0.009837545
Chardonnay,Peru,1,9.03E-05
Chardonnay,Portugal,17,0.001534296
Chardonnay,Romania,12,0.001083032
Chardonnay,Slovenia,3,0.000270758
Chardonnay,South Africa,157,0.014169675
Chardonnay,Spain,71,0.006407942
Chardonnay,Turkey,1,9.03E-05
Chardonnay,Ukraine,1,9.03E-05
Chardonnay,Uruguay,3,0.000270758
Chardonnay,US,6773,0.611281588
Merlot,,1,0.000326584
Merlot,Argentina,58,0.018941868
Merlot,Australia,19,0.006205095
Merlot,Austria,2,0.000653168
Merlot,Brazil,7,0.002286088
Merlot,Bulgaria,13,0.004245591
Merlot,Canada,11,0.003592423
Merlot,Chile,256,0.083605487
Merlot,France,106,0.034617897
Merlot,Greece,6,0.001959504
Merlot,Hungary,1,0.000326584
Merlot,Israel,38,0.012410189
Merlot,Italy,138,0.045068583
Merlot,Mexico,1,0.000326584
Merlot,Moldova,2,0.000653168
Merlot,New Zealand,9,0.002939255
Merlot,Portugal,12,0.003919007
Merlot,Romania,10,0.003265839
Merlot,Slovenia,1,0.000326584
Merlot,South Africa,51,0.016655781
Merlot,Spain,15,0.004898759
Merlot,Switzerland,1,0.000326584
Merlot,Turkey,1,0.000326584
Merlot,Ukraine,2,0.000653168
Merlot,Uruguay,1,0.000326584
Merlot,US,2300,0.751143044
Nebbiolo,Argentina,4,0.001716002
Nebbiolo,Italy,2265,0.971685972
Nebbiolo,Mexico,6,0.002574003
Nebbiolo,US,56,0.024024024
Pinot Noir,,2,0.000156409
Pinot Noir,Argentina,103,0.008055056
Pinot Noir,Australia,127,0.009931962
Pinot Noir,Austria,83,0.006490967
Pinot Noir,Brazil,1,7.82E-05
Pinot Noir,Bulgaria,15,0.001173066
Pinot Noir,Canada,23,0.001798702
Pinot Noir,Chile,358,0.027997185
Pinot Noir,Croatia,1,7.82E-05
Pinot Noir,England,7,0.000547431
