export_country,import_country,value_thousand_USD,quantity_metric_tons,year
Afghanistan,Myanmar,20.43,4.185,2018
Afghanistan,Senegal,1.311,0.09,2018
Albania,China,4.92,2.84,2018
Albania,Denmark,7.341,0.557,2018
Albania,France,14.415999999999999,3.787,2018
Albania,Germany,1.051,3.0,2018
Albania,Italy,21.818,0.389,2018
Albania,Malaysia,1.893,0.252,2018
Albania,Switzerland,5.391,0.19399999999999998,2018
Albania,USA,90.92299999999999,10.058,2018
Albania,United Kingdom,912.169,10.418,2018
Algeria,Canada,7.502999999999999,1.706,2018
Algeria,Côte d'Ivoire,1.587,0.322,2018
Algeria,France,631.543,165.91,2018
Algeria,Japan,5.582000000000001,1.08,2018
Algeria,Rep. of Korea,1.374,0.04,2018
Andorra,France,154.542,0.7390000000000001,2018
Andorra,Spain,129.24080094176,4.09204614875615,2018
Andorra,Switzerland,5.227,0.294,2018
Angola,Congo,108.665,49.351,2018
Angola,Dem. Rep. of the Congo,2265.632,892.347,2018
Angola,Sao Tome and Principe,78.227309684129,70.3037647113425,2018
Angola,So. African Customs Union,1.101,0.21,2018
Angola,Spain,1.177,0.433,2018
Angola,USA,1.0,0.231,2018
Antigua and Barbuda,Australia,14.448,3.795,2018
Antigua and Barbuda,Czechia,13.737,6.07,2018
Antigua and Barbuda,Guyana,1.111,0.21,2018
Antigua and Barbuda,Ireland,20.093,6.308,2018
Antigua and Barbuda,Poland,2.4330000000000003,0.054000000000000006,2018
Antigua and Barbuda,Rep. of Korea,4.867,1.008,2018
Antigua and Barbuda,Saint Kitts and Nevis,2.5860000000000003,0.044000000000000004,2018
Antigua and Barbuda,Saint Lucia,91.31200000000001,12.969999999999999,2018
Antigua and Barbuda,Saint Vincent and the Grenadines,1.476,0.125,2018
Antigua and Barbuda,Senegal,7.354,1.26,2018
Antigua and Barbuda,USA,2.384,0.027999999999999997,2018
Argentina,Andorra,7.5760000000000005,0.907,2018
Argentina,Angola,179.44463847412203,119.7853652288871,2018
Argentina,Antigua and Barbuda,339.883017992751,124.24096510484381,2018
Argentina,Aruba,732.092,167.154,2018
Argentina,Australia,4168.571923186301,898.2392330461867,2018
Argentina,Austria,717.5598020545999,115.374143240772,2018
Argentina,Azerbaijan,10.623,1.4929999999999999,2018
Argentina,Bahamas,561.688,180.33599999999998,2018
Argentina,Bahrain,57.2002427444603,19.559722403919803,2018
Argentina,Barbados,280.212958197812,59.2737489205723,2018
Argentina,Belarus,252.20000000000002,75.843,2018
Argentina,Belgium-Luxembourg,8715.212949440649,2844.7071123301607,2018
Argentina,Belize,27.342,19.31,2018
Argentina,Bermuda,302.61400000000003,42.048,2018
Argentina,Bolivia (Plurinational State of),1827.77293309258,403.14437254176687,2018
Argentina,Bosnia Herzegovina,3.386,0.332,2018
Argentina,Brazil,56903.20658360027,16289.799146756655,2018
Argentina,Brunei Darussalam,2.0580000000000003,0.17600000000000002,2018
Argentina,Bulgaria,174.08244752750701,53.654852634189794,2018
Argentina,Burundi,30.23,17.546,2018
Argentina,Cambodia,407.461,85.448,2018
Argentina,Canada,67578.07584985912,23781.307434626207,2018
Argentina,Chile,3411.5204864144907,639.454454967946,2018
Argentina,China,24173.115060462707,4774.500580261716,2018
Argentina,"China, Hong Kong SAR",3096.582479950679,524.9810048193764,2018
Argentina,Colombia,9635.240669402536,3113.2247597147007,2018
Argentina,Costa Rica,4558.66269588161,1235.571936284956,2018
Argentina,Croatia,49.31399999999999,10.475999999999999,2018
Argentina,Cuba,196.40900000000002,50.044,2018
Argentina,Curaçao,726.379,199.121,2018
Argentina,Cyprus,210.278552415323,39.0124098193875,2018
Argentina,Czechia,1453.6148013639586,568.2318009517883,2018
Argentina,Côte d'Ivoire,1.22,0.26899999999999996,2018
Argentina,Denmark,12490.878065881278,4332.936479196465,2018
Argentina,Dominican Rep.,1895.681,617.018,2018
Argentina,Ecuador,4295.9910985786055,1793.100713770737,2018
Argentina,El Salvador,440.12295789190426,118.10797053071096,2018
Argentina,Estonia,836.632803127685,233.79134137667597,2018
Argentina,Fiji,86.67999999999999,23.598000000000003,2018
Argentina,Finland,5218.19868393653,1534.825759094515,2018
Argentina,France,15375.96380586654,3072.159457653139,2018
Argentina,Germany,15650.469181784527,4865.582270077443,2018
Argentina,Ghana,432.866,425.302,2018
Argentina,Greece,309.029491471837,55.268084854390295,2018
Argentina,Greenland,54.77199999999999,13.238999999999999,2018
Argentina,Grenada,81.2,27.842,2018
Argentina,Guatemala,1403.949,443.56600000000003,2018
Argentina,Haiti,277.855,149.91,2018
Argentina,Honduras,551.8899999999999,148.72500000000002,2018
Argentina,Hungary,220.38896944450198,41.76822378372871,2018
Argentina,Iceland,1231.85240947044,274.64894860458304,2018
Argentina,India,569.49466991671,195.154207150684,2018
Argentina,Indonesia,767.587082215955,167.84020361565,2018
Argentina,Ireland,7447.949871314279,2132.922571882111,2018
Argentina,Israel,935.0915781791721,231.17463871583402,2018
Argentina,Italy,1405.6035923267132,358.2845097380316,2018
Argentina,Jamaica,426.54699999999997,211.22400000000002,2018
Argentina,Japan,13037.64370110278,4406.638356453044,2018
Argentina,Jordan,28.847,3.3209999999999997,2018
Argentina,Kazakhstan,402.25,133.625,2018
Argentina,Kenya,846.1161573270809,195.22593081194697,2018
Argentina,Kyrgyzstan,11.929,3.2319999999999998,2018
Argentina,Lao People's Dem. Rep.,95.005,22.509,2018
Argentina,Latvia,1208.3274810619198,295.875350740134,2018
Argentina,Lebanon,158.986,14.014,2018
Argentina,Lithuania,321.13349953031604,108.63299063550399,2018
Argentina,Madagascar,88.88300000000001,111.553,2018
Argentina,Malaysia,1279.60523091563,297.47810828241995,2018
Argentina,Maldives,264.401145586845,81.4640511607175,2018
Argentina,Malta,110.83644093116501,26.097503917573103,2018
Argentina,Mauritius,100.1858644858783,23.6023020194489,2018
Argentina,Mexico,21222.888719843064,5945.160005826459,2018
Argentina,Mongolia,137.506,35.519,2018
Argentina,Montenegro,6.727,0.99,2018
Argentina,Morocco,30.248,7.946000000000001,2018
Argentina,Mozambique,27.079,7.1129999999999995,2018
Argentina,Myanmar,20.705,3.1319999999999997,2018
Argentina,Netherlands,29444.94143926945,8152.818780864389,2018
Argentina,New Zealand,1029.2880708902198,256.542246525656,2018
Argentina,Nicaragua,523.971368685702,134.645351098517,2018
Argentina,Nigeria,138.924602950187,29.1639463711237,2018
Argentina,Norway,2963.39174159068,916.638570661968,2018
Argentina,"Other Asia, nes",2875.696474896796,612.6256692900739,2018
Argentina,Panama,4580.448,755.026,2018
