"","variety","country","count","percent"
"1","Bordeaux-style Red Blend","France",24,0.48
"2","Bordeaux-style Red Blend","Israel",4,0.08
"3","Bordeaux-style Red Blend","South Africa",3,0.06
"4","Bordeaux-style Red Blend","US",19,0.38
"5","Cabernet Sauvignon","Argentina",1,0.02
"6","Cabernet Sauvignon","Chile",5,0.1
"7","Cabernet Sauvignon","Italy",4,0.08
"8","Cabernet Sauvignon","South Africa",2,0.04
"9","Cabernet Sauvignon","US",38,0.76
"10","Chardonnay","Australia",2,0.04
"11","Chardonnay","Chile",4,0.08
"12","Chardonnay","France",10,0.2
"13","Chardonnay","South Africa",2,0.04
"14","Chardonnay","US",32,0.64
"15","Merlot","Chile",19,0.38
"16","Merlot","Italy",1,0.02
"17","Merlot","US",30,0.6
"18","Nebbiolo","Italy",50,1
"19","Pinot Noir","Chile",5,0.1
"20","Pinot Noir","France",4,0.08
"21","Pinot Noir","US",41,0.82
"22","Red Blend","Argentina",1,0.02
"23","Red Blend","Chile",6,0.12
"24","Red Blend","Italy",18,0.36
"25","Red Blend","Spain",2,0.04
"26","Red Blend","US",23,0.46
"27","Riesling","France",8,0.16
"28","Riesling","Germany",20,0.4
"29","Riesling","US",22,0.44
"30","Rosé","Australia",4,0.0784313725490196
"31","Rosé","France",27,0.529411764705882
"32","Rosé","Portugal",8,0.156862745098039
"33","Rosé","Spain",5,0.0980392156862745
"34","Rosé","US",7,0.137254901960784
"35","Sauvignon Blanc","Argentina",1,0.02
"36","Sauvignon Blanc","Australia",1,0.02
"37","Sauvignon Blanc","Austria",1,0.02
"38","Sauvignon Blanc","Chile",1,0.02
"39","Sauvignon Blanc","France",4,0.08
"40","Sauvignon Blanc","Italy",2,0.04
"41","Sauvignon Blanc","New Zealand",4,0.08
"42","Sauvignon Blanc","South Africa",2,0.04
"43","Sauvignon Blanc","US",34,0.68
"44","Syrah","Israel",3,0.06
"45","Syrah","Italy",2,0.04
"46","Syrah","New Zealand",1,0.02
"47","Syrah","South Africa",1,0.02
"48","Syrah","US",43,0.86
"49","Zinfandel","US",50,1
