fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.172079392,4.918238447,5.213258429,7.821061144,4.964648609,5.569873394,5.744489024,7.331273996,3.753206014,4.65085139,3.606989764,6
4.342565995,5.215873592,5.047996221,4.055331176,5.147731996,3.747109256,4.850330657,4.990846763,5.739953092,5.00134171,4.175808471,6
6.475600444,5.017450162,5.543782844,5.100271952,5.193502843,4.687890747,4.02676374,5.358628185,5.475053481,4.56322881,4.663367362,6
5.40908322,4.521391587,4.882734013,5.415725772,5.559669617,5.68747108,6.120976757,5.525801559,5.011479163,4.212738491,4.500847732,6
5.40908322,4.521391587,4.882734013,5.415725772,5.559669617,5.68747108,6.120976757,5.525801559,5.011479163,4.212738491,4.500847732,6
6.475600444,5.017450162,5.543782844,5.100271952,5.193502843,4.687890747,4.02676374,5.358628185,5.475053481,4.56322881,4.663367362,6
4.224064081,5.414297021,3.560636353,5.119987816,4.964648609,4.687890747,4.94445259,5.291758836,4.945254261,4.82609655,4.257068286,6
5.172079392,4.918238447,5.213258429,7.821061144,4.964648609,5.569873394,5.744489024,7.331273996,3.753206014,4.65085139,3.606989764,6
4.342565995,5.215873592,5.047996221,4.055331176,5.147731996,3.747109256,4.850330657,4.990846763,5.739953092,5.00134171,4.175808471,6
6.475600444,4.422179872,5.791676155,4.035615312,4.918877762,4.57029306,4.779739207,4.923977413,5.210153871,4.65085139,5.3947057,6
6.475600444,4.918238447,5.626413947,4.02575738,4.415398448,3.570712727,3.226727306,3.920937171,3.686981112,5.614699769,6.207303852,5
7.068110013,4.521391587,5.543782844,4.567943632,4.506940141,3.923505786,4.30912954,5.224889486,4.68035465,5.351832029,4.338328101,5
6.238596616,4.025333013,5.295889532,3.976467721,4.735794375,3.864706943,3.509093106,4.322153268,4.945254261,6.228057828,5.232186069,5
4.698071737,3.826909583,5.543782844,4.035615312,4.918877762,5.746269923,5.109165973,4.05467587,7.329350754,5.264209449,6.532343113,7
6.712604272,6.40641417,7.361667127,7.535181121,4.735794375,5.334678021,5.79154999,7.063796598,3.620756209,6.578548147,4.338328101,5
4.698071737,3.926121298,5.378520636,4.035615312,4.369627601,4.57029306,4.37972099,4.121545219,5.408828579,5.527077189,5.719744961,7
4.342565995,7.001684459,2.569063108,3.956751857,5.010419456,4.687890747,4.073824707,4.589630666,5.342603676,3.862248171,4.257068286,6
4.224064081,8.787495327,6.204831674,3.976467721,4.232315061,4.629091903,3.509093106,3.385982374,5.9386278,4.125115911,6.857382374,8
5.646087047,5.612720451,5.709045051,3.956751857,4.415398448,3.923505786,5.768019507,4.221849243,4.547904845,5.351832029,5.638485145,6
4.579569823,5.315085306,3.395374145,5.218567135,4.918877762,4.923086119,4.87386114,5.492366884,5.210153871,5.088964289,4.175808471,5
4.224064081,8.787495327,6.204831674,3.976467721,4.232315061,4.629091903,3.509093106,3.385982374,5.9386278,4.125115911,6.857382374,8
4.461067909,5.315085306,5.378520636,4.311637404,4.644252682,4.041103472,4.144416157,4.05467587,4.879029358,3.774625591,5.3947057,7
4.935075564,4.819026732,5.709045051,4.075047039,5.147731996,5.334678021,4.615025823,4.656500015,6.865776436,4.91371913,4.988406623,8
5.883090875,8.886707042,3.395374145,4.035615312,6.292003165,4.393896531,5.697428057,4.890542739,4.084330527,5.176586869,4.01328884,5
4.698071737,4.918238447,5.626413947,3.996183585,5.285044536,3.864706943,5.08563549,5.358628185,6.534651923,4.82609655,4.582107547,6
5.172079392,4.719815017,4.882734013,5.51430509,5.010419456,6.216660668,7.509275274,5.492366884,5.408828579,5.088964289,4.907146808,6
5.053577478,4.620603302,5.130627325,3.937035994,5.285044536,4.981884962,5.179757424,4.656500015,6.733326631,4.56322881,4.582107547,6
5.172079392,5.017450162,5.46115174,5.455157499,5.23927369,4.805488433,5.062105007,5.692974933,6.269752313,5.351832029,4.988406623,6
5.646087047,4.918238447,6.204831674,3.956751857,5.056190303,3.923505786,4.850330657,4.121545219,5.011479163,5.00134171,5.882264591,6
