"","word","n"
"1","fruit",44565
"2","aromas",39147
"3","acidity",34121
"4","tannins",29957
"5","cherry",27411
"6","ripe",25720
"7","black",24466
"8","spice",18403
"9","rich",16804
"10","fresh",16585
"11","berry",15518
"12","plum",13807
"13","soft",13286
"14","fruits",12955
"15","blend",12934
"16","sweet",12679
"17","crisp",12603
"18","apple",12325
"19","texture",12232
"20","blackberry",12213
"21","light",11958
"22","white",11648
"23","bodied",11537
"24","dark",11464
"25","citrus",11252
"26","bright",10717
"27","vanilla",10643
"28","pepper",9758
"29","juicy",9645
"30","fruity",9403
"31","raspberry",9239
"32","cabernet",9154
"33","firm",9015
"34","green",8924
"35","lemon",8840
"36","balanced",8428
"37","chocolate",8395
"38","peach",8374
"39","character",8032
"40","sauvignon",7613
"41","pear",7559
"42","structure",7495
"43","dried",7486
"44","smooth",7142
"45","fine",7034
"46","spicy",7014
"47","medium",6736
"48","wood",6503
"49","herb",6468
"50","currant",6456
"51","mouth",6397
"52","style",6379
"53","concentrated",6329
"54","pinot",6325
"55","mineral",6289
"56","tart",6237
"57","tannic",6190
"58","note",6001
"59","vineyard",5967
"60","licorice",5959
"61","flavor",5941
"62","merlot",5903
"63","hint",5878
"64","clean",5687
"65","creamy",5645
"66","toast",5586
"67","balance",5584
"68","herbal",5582
"69","orange",5544
"70","lime",5460
"71","alongside",5384
"72","structured",5319
"73","dense",5301
"74","syrah",5298
"75","leather",5228
"76","lead",5223
"77","aging",5203
"78","ready",5178
"79","delicious",5140
"80","savory",5096
"81","tight",5079
"82","tobacco",5069
"83","hints",5017
"84","earthy",5009
"85","elegant",4976
"86","slightly",4965
"87","easy",4889
"88","mouthfeel",4713
"89","complex",4701
"90","chardonnay",4669
"91","richness",4501
"92","cassis",4388
"93","herbs",4351
"94","smoky",4347
"95","lively",4326
"96","time",4296
"97","vintage",4283
"98","freshness",4271
"99","strawberry",4255
"100","delivers",4222
